"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"HECTD1",12.9137696264474,12.6191393823499,12.6708985159958,12.7406283706618,12.9010535371413,12.6692093752993
"ERRFI1",11.1805017043731,13.3968490079842,12.4088709985694,13.0409003114544,12.9857772646598,12.468241474364
"SON",12.8187138877632,12.7341744024512,12.9479642667247,12.6018887355786,12.531024961417,12.8625340979582
"BLTP1",12.5403510450228,12.8097460183834,12.6462891397093,12.9734593485149,12.6172737306713,12.8164364524416
"NFAT5",12.6536950279203,12.7515133968416,12.7104891908176,12.6870770356461,12.896585679152,12.7264055798781
"CD55",12.9752699372028,12.0103120025299,12.6013370554624,13.2427546607948,13.2363370675818,11.4878214355205
"C1S",12.9047217925469,12.1731997608236,13.0441033014166,12.853945316413,12.3526601943832,12.8084427718051
"RNASET2",11.5383476874838,12.8874710502111,12.8509344812294,12.7795268034826,12.9632974320963,12.8263276473962
"HNRNPA3",12.8520280124339,12.3801063152763,12.8543720878402,12.7193443110625,12.7667416561568,12.6569047264641
"MCL1",12.9132374303219,12.7777870801396,12.5454362387986,12.9157093981618,12.8221165641228,12.2474177110096
"ANXA4",12.748366849623,11.8791755716887,13.119087127408,12.9580885018134,13.0500727616843,11.7237208626001
"KLF6",13.3015128686084,12.3567286429076,12.4401896189693,13.0957604137278,13.0838277044864,11.3450786523649
"FLNB",13.0425335654527,12.3587180899631,12.4414188341725,13.069482075213,13.0787972642668,12.0366836873093
"SPARCL1",12.5534961363353,12.6043563619577,12.7485589204735,12.5614309471528,12.4863713910724,13.0455333198215
"TMBIM6",12.5417142380527,12.5907644181834,12.6275281413133,12.8092821209451,12.8482259295673,12.5413373563708
"FREM2",10.8856429934274,13.338912371834,12.0399782926733,12.3315467202217,13.2397355252633,12.7770130934139
"MAP2K6",9.43035674855991,12.8668367196945,13.1266046741791,11.6943484246986,12.1859591062796,13.837411504297
"PAEP",14.7045055358367,9.40407060888969,12.1552883263477,12.4867898633873,11.1609838617752,9.96692343554927
"NAP1L1",12.447376221882,12.9977312226854,12.5932956394832,12.4996443598133,12.307687209877,12.8797779047157
"PCM1",12.8547396068742,12.6293073095941,12.4758853779191,13.0032580943531,12.2883685576938,12.5385451547344
"AFDN",12.4461719956054,12.8029943864442,12.502297997348,12.7054926014685,12.7677264784343,12.5215464311736
"MATR3",12.648728526126,12.4825087861353,12.6053098482723,12.708746519355,12.6973988412592,12.6162913409351
"CALR",12.7910833020786,12.3685515244776,12.5953729158918,12.8139928482284,12.3049791722694,12.7873667327084
"RPS4X",12.8087531194391,12.7550117606107,12.7202189723382,12.4169611854818,12.4200041641332,12.5591687630529
