Cell Type	Endothelial	Epithelial	Lymphoid	Myeloid	Stromal
SRR19925016	0.134857	0.215893	0.125298	0.137082	0.38687
SRR19925018	0.13213	0.303878	0.148449	0.112787	0.302756
SRR19925020	0.091869	0.392035	0.069224	0.203534	0.243337
SRR19925022	0.131509	0.261565	0.066805	0.082385	0.457735
SRR19925024	0.113944	0.168598	0.219776	0.1215	0.376182
SRR19925027	0.126141	0.396852	0.072963	0.071468	0.332576
SRR19925038	0.133553	0.201925	0.138739	0.068702	0.457081
SRR19925039	0.179941	0.143614	0.228156	0.099039	0.34925
SRR19925040	0.176667	0.280176	0.084288	0.071865	0.387004
SRR19925042	0.147027	0.135015	0.18389	0.063695	0.470373
SRR19925043	0.144323	0.269144	0.119289	0.078268	0.388976
SRR19925045	0.168662	0.139888	0.201544	0.115578	0.374328
SRR19925046	0.140801	0.245788	0.101658	0.091435	0.420318
SRR19925047	0.138565	0.25975	0.124428	0.105579	0.371678
SRR19925052	0.127996	0.160253	0.25776	0.134124	0.319867
SRR19925054	0.122469	0.174366	0.188923	0.117099	0.397143
SRR19925055	0.128642	0.159912	0.211324	0.111146	0.388976
SRR19925057	0.104037	0.476634	0.073567	0.08633	0.259432
SRR19925058	0.128958	0.127631	0.251608	0.124851	0.366952
SRR19925060	0.134605	0.43348	0.072265	0.068837	0.290812
SRR19925061	0.140504	0.21582	0.160122	0.108045	0.37551
SRR19925062	0.156006	0.192044	0.130518	0.096939	0.424493
SRR19925065	0.141864	0.293789	0.126738	0.076816	0.360793
SRR19925066	0.131918	0.265349	0.134896	0.077701	0.390136
SRR19925068	0.175415	0.433038	0.069145	0.065958	0.256444
SRR19925070	0.173463	0.14844	0.162726	0.093873	0.421498
SRR19925071	0.116107	0.199756	0.13883	0.08982	0.455487
SRR19925072	0.144411	0.063631	0.174777	0.199365	0.417816
SRR19925073	0.110421	0.258623	0.187788	0.096421	0.346747
SRR19925076	0.122647	0.308525	0.068711	0.064171	0.435946
SRR19925077	0.08365	0.436022	0.060338	0.059626	0.360363
SRR19925078	0.131809	0.22327	0.10219	0.084165	0.458566
SRR19925079	0.127932	0.322003	0.09943	0.083332	0.367303
SRR19925081	0.102997	0.462634	0.057659	0.101966	0.274744
SRR19925082	0.126073	0.357671	0.10798	0.089993	0.318283
SRR19925083	0.120174	0.320733	0.039961	0.049807	0.469326
SRR19925085	0.122577	0.415709	0.059497	0.059328	0.342888
SRR19925086	0.112893	0.465806	0.067341	0.056239	0.29772
