"","GSM5680942","GSM5680943","GSM5680944","GSM5680945","GSM5680946","GSM5680947","GSM5680948","GSM5680949","GSM5680950","GSM5680951"
"A1BG",7.373211,6.869829,7.489611,6.828129,7.5753107,7.2017145,7.30989,7.3957915,6.8409586,7.4382706
"A1BG-AS1",10.074338,10.944444,9.454491,10.179306,11.415708,9.597991,9.907581,10.024454,10.273972,9.989057
"A1CF",3.6218812,4.0606728,3.943424,4.54551,3.233143,2.350215,3.8063107,3.3540807,3.3923373,3.4677002
"A2M",9.46414,9.76084,8.145626,9.701684,8.642286,8.394749,9.169025,8.857874,9.621974,9.213669
"A2M-AS1",2.80313,3.4800465,3.5837872,3.5631998,3.2384138,2.9104948,3.2257495,2.8470395,3.0739136,3.3647964
"A2ML1",2.352362,3.835706,4.157529,4.5374565,2.3236892,4.923929,2.6910937,5.3096447,3.3491054,2.7348297
"A2ML1-AS1",7.6410384,8.102491,4.597108,6.679821,7.4629154,4.172255,7.2828045,5.4187107,7.661368,7.7493143
"A2ML1-AS2",3.6240997,2.42625,3.205009,2.5769746,3.3732994,2.7937465,3.2084875,3.7166405,3.363707,3.710583
"A3GALT2",2.352362,2.42625,3.4351547,2.5769746,2.4219687,2.350215,2.3484516,2.36195,2.4393778,3.1194308
"A4GALT",4.4465866,4.1424794,4.7123165,3.5256126,4.2396703,4.5109277,4.6842155,4.8597283,4.5241475,4.431789
"A4GNT",2.352362,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.333692,2.3220553
"AA06",2.352362,2.42625,2.433,2.5769746,2.6962817,2.350215,2.3484516,2.36195,2.4970815,2.3220553
"AA174084",3.6383598,3.6785054,5.883921,3.9305108,4.436995,4.681179,4.7817235,3.934572,4.1822834,3.977559
"AAAS",6.380627,5.299552,6.6830673,6.1004624,5.895149,6.2006288,6.6384907,5.543313,5.678138,6.02355
"AACS",6.7605286,7.1532326,6.1339602,6.2775307,7.0705175,6.1678743,6.2439184,6.173809,6.4775295,6.2066145
"AADAC",3.2481627,4.2626734,4.017079,4.0438566,2.9549017,5.00148,3.6787994,4.0231013,3.6593347,3.662561
"AADACL2",2.352362,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.333692,2.3220553
"AADACL2-AS1",6.470684,6.18362,6.979486,6.4488745,6.502134,6.110619,6.8466387,6.2866144,5.9985003,6.153484
"AADACL3",2.7553084,3.1775446,3.7519636,2.5769746,2.9039967,2.8997977,3.0704615,3.1228645,2.7100286,3.0595927
"AADACL4",7.020533,7.698829,5.2671223,4.9046097,9.448811,6.1953726,7.6263046,5.3354373,5.871473,4.9475045
"AADACP1",5.351611,5.6380386,6.5000815,6.732083,4.7704587,6.8919835,5.1673265,7.243623,5.5876775,5.4887543
"AADAT",11.989625,10.257168,12.991009,13.49377,10.28925,12.369385,12.4887905,10.463846,10.903613,11.245225
"AAGAB",7.755184,8.055634,7.6516495,7.7684455,8.299355,8.065844,7.639024,8.002264,8.338102,7.679374
"AAK1",9.705122,10.276363,10.0848055,10.722073,9.329685,9.86917,10.297493,10.094405,9.875338,10.382847
"AAMDC",4.4450865,5.270727,4.7494473,5.2735868,4.7478294,4.804984,4.612321,5.09299,4.911823,4.6722517
"AAMP",5.543035,6.151792,5.32718,5.884518,5.3520007,5.1344075,5.6918573,5.2216444,5.4244184,5.2670174
