"","GSM5680942","GSM5680943","GSM5680944","GSM5680945","GSM5680946","GSM5680947","GSM5680948","GSM5680949","GSM5680950","GSM5680951"
"AANAT",6.136409,6.430378,5.4058967,5.1662955,7.5441895,6.366539,6.015957,6.5162034,6.5585985,6.6171412
"AAR2",9.687482,8.46156,10.316307,9.276222,7.6600976,8.994523,9.78355,9.253805,9.8451805,9.198489
"AARD",16.243435,16.093252,15.722639,15.711707,16.345106,16.240139,16.004725,16.166327,16.278227,16.271257
"AARS",5.5421233,6.1282125,5.3255177,5.807222,5.5695004,5.305018,5.276661,5.375803,5.3776007,5.302347
"AARS2",8.032957,7.6421475,9.128239,8.06175,7.9290824,8.349544,8.650225,8.040392,7.8156915,8.010975
"AARSD1",6.5626388,6.4882,6.824059,6.2125473,6.5459356,6.777417,6.5641484,6.497381,6.715267,6.8113513
"AASDH",7.6700974,9.110868,6.4369125,7.2156844,9.107447,7.6978765,6.806976,7.794343,7.8713603,8.7975445
"AASDHPPT",3.0212018,3.371108,3.3274155,2.5769746,2.7734096,2.350215,2.8363879,3.3181887,2.6531775,3.288118
"AASS",4.8652425,4.8446083,4.8082457,4.2216616,5.3679705,4.9340115,4.9323196,5.018671,4.903826,5.267889
"AATBC",4.1304502,4.0528426,3.5787385,3.7204454,3.637257,2.9659677,3.3160121,3.3069708,3.3125286,3.4467938
"AATF",8.881983,9.857887,6.870339,8.001704,10.194622,8.310871,7.8547435,8.634741,8.9251795,9.043241
"AATK",8.846007,8.105122,9.772179,8.9563465,6.403952,8.831777,9.165718,7.4760528,8.174547,8.691489
"AB015752.1",3.7529094,3.6680048,3.3611553,4.5876403,3.4466794,3.8547099,4.3244724,3.4576771,3.4409013,3.8655903
"AB447886",7.7519274,8.155927,7.0013285,7.4815555,8.022841,7.421148,7.4447327,7.399591,7.5419755,7.6160517
"ABALON",6.950691,5.9626327,6.4950185,5.917134,6.768004,6.8886,7.5392866,6.700642,6.2304316,6.9991302
"ABAT",4.019487,3.047304,3.4964464,3.7771404,3.4090097,3.6781409,4.058817,3.628985,3.908832,3.453476
"ABCA1",7.855419,8.235253,7.6305614,8.771606,7.3673973,7.5409613,7.030843,7.684037,8.03193,7.351726
"ABCA10",2.352362,2.42625,2.433,2.5769746,2.3236892,2.975552,2.3484516,2.36195,2.8483863,2.3818526
"ABCA12",2.352362,2.42625,2.433,2.5769746,2.3236892,4.345903,2.3484516,3.2741067,2.333692,2.3220553
"ABCA13",7.208477,6.1392426,7.8864346,6.3747034,6.4239697,7.2410154,7.545212,6.558775,6.869183,7.065296
"ABCA2",11.052372,11.617774,11.9751215,11.844426,12.157319,12.316911,11.367091,12.60273,11.862703,11.020953
"ABCA3",7.4686766,6.714045,7.611151,6.4734774,5.3279996,6.5417337,7.3354697,7.4401307,7.736358,6.7605286
"ABCA4",4.1067114,2.9118245,3.8647563,2.5769746,4.3368373,3.1691353,4.1565685,3.6681204,3.1811354,3.2419865
"ABCA5",5.4654937,6.2941456,3.8517098,4.913863,5.6145167,6.358267,4.115859,6.2034516,6.040017,5.8765626
"ABCA6",6.09836,5.4246135,6.020115,5.570154,6.318324,5.8050113,6.1988163,6.4980865,6.231901,6.00722
"ABCA7",3.762646,3.4838738,3.231764,3.9926066,3.2176137,3.5888221,3.5266268,3.6735947,3.5381534,3.6824076
"ABCA8",6.3279123,6.6974735,5.8222117,5.553507,7.236404,5.601517,6.2125473,6.146447,6.443103,6.4440384
"ABCA9",4.8333817,3.9564722,5.2503223,5.0291023,5.442324,4.950291,4.906064,5.1482024,5.399678,4.7815313
"ABCA9-AS1",5.884451,5.6461606,5.6598673,5.467124,6.979854,5.979812,5.822989,6.4112377,6.0540795,5.666969
"ABCB1",6.375301,7.7572026,4.4377575,5.9726663,8.519833,6.449899,5.9819317,5.5056467,7.4117303,7.3537097
"ABCB10",8.700457,7.5770273,9.180928,8.372374,6.441645,8.372374,8.798616,8.458525,7.9529524,7.4252234
"ABCB11",2.7763608,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.5877247,2.4088194
"ABCB4",4.274991,4.043661,3.4353669,2.5769746,4.7583323,2.9940479,4.4385157,3.7303538,4.3481994,4.3966217
"ABCB5",4.5952125,3.3138566,2.433,2.5769746,5.337294,4.413108,3.9837193,4.5289087,4.9902935,3.9713633
"ABCB6",3.6004763,4.220421,2.433,4.0034056,3.103285,3.1807704,3.524261,3.5046284,3.3172321,3.2019577
"ABCB7",9.852978,7.9687586,9.501431,8.110983,9.539593,9.73555,9.729246,9.345541,9.223891,9.410141
"ABCB8",10.958713,10.343803,11.999838,11.824095,8.622452,10.81041,11.343793,11.147891,10.45877,10.790607
"ABCB9",4.6572037,5.199836,4.3639345,4.811056,4.8203306,4.6980724,3.5354965,4.8261533,4.688113,4.2780027
"ABCC1",5.9101276,5.951,6.199749,6.291412,6.118622,6.0612144,5.8587117,5.7744274,5.9930954,5.9685144
"ABCC10",5.5311675,5.7157474,6.0155563,6.0551023,6.2756405,5.767352,5.708551,5.4537206,5.183896,5.435383
"ABCC11",3.8286953,3.9154441,3.581783,2.5769746,4.6420164,3.6515245,3.9573152,3.6704965,4.4788885,4.756489
"ABCC12",2.5374136,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.6143813,2.333692,2.3537128
"ABCC2",4.513521,4.484082,4.8361607,4.3855443,4.7735114,5.4464436,4.7335434,4.6995087,4.424931,4.20283
"ABCC3",4.2725153,4.6982737,2.433,2.5769746,4.1429205,2.350215,4.475557,2.36195,3.5973682,3.231764
"ABCC4",6.529546,7.3115244,5.800761,5.9294558,6.663047,6.773975,5.401613,6.193718,6.5729737,6.3439045
"ABCC5",3.3226433,3.3406334,3.791303,3.8438327,3.5973682,2.8291104,3.104108,2.8817873,3.3799062,3.32957
"ABCC5-AS1",2.352362,2.42625,2.433,2.5769746,2.3236892,2.6382136,2.3484516,2.36195,2.6455994,3.2043843
"ABCC6",6.701469,6.8377466,7.5482063,7.9468303,8.013582,8.3995075,6.1408825,7.6591825,6.636878,6.403225
"ABCC8",13.602955,13.280198,12.547182,13.330308,12.560152,12.295886,13.183251,13.261219,13.802671,13.283169
"ABCC9",7.368497,7.566894,5.4159465,7.0501404,6.500279,6.056802,6.8419514,6.351491,6.9492207,6.8770413
"ABCD1",10.326184,9.652086,11.854106,10.445009,7.779303,10.032355,10.743172,9.834582,9.621431,10.391495
"ABCD2",6.3806686,6.2053094,6.2589865,6.075198,6.1808643,6.5080605,6.342189,6.2373624,6.390736,6.429427
"ABCD3",7.0779915,8.178082,6.815254,6.962433,8.448019,7.3615417,6.886819,7.5163264,7.5751944,8.11604
"ABCD4",5.4452276,5.167859,5.0897484,5.6432533,6.000583,5.4534564,5.4805293,5.4654937,5.565035,5.217765
"ABCE1",6.9458494,7.6623793,5.464217,6.048619,6.5957623,6.1752014,5.942492,5.7284203,6.6826134,7.252041
"ABCF1",9.774553,10.708605,9.005256,9.822669,10.769321,9.455046,9.560022,9.768038,9.983004,9.994696
"ABCF2",6.102107,5.843998,6.9873657,6.850688,4.137271,6.06695,6.451622,5.944396,5.603859,5.866149
"ABCF3",7.3983545,7.2339163,7.660905,7.139048,7.3153863,7.22101,7.5255046,7.300909,7.031907,7.3936973
"ABCG1",4.5113215,3.6434977,4.2192636,2.5769746,4.657905,4.175709,3.8717654,4.224343,4.315291,4.8198094
"ABCG2",13.0016575,13.263214,13.363512,13.747481,12.60273,13.382966,13.218422,13.506274,13.404789,13.607391
"ABCG4",4.1815004,4.0122876,4.4598937,4.3390284,4.239768,4.2601905,4.1693344,4.0670977,3.926663,4.0812764
"ABCG5",5.5231786,5.1602345,4.9063587,5.829051,5.3862095,5.667635,5.122245,5.491025,5.707549,6.103209
"ABCG8",3.3902574,3.3592381,4.3933206,4.6690073,2.7813566,3.7845972,3.69206,3.95702,3.4470696,4.069403
"ABHD1",3.1940312,2.42625,2.433,3.7725115,2.3236892,2.7861698,2.3484516,2.606538,2.333692,2.9428833
"ABHD10",9.239347,9.862392,9.062248,9.410938,10.199724,9.992704,9.283807,9.850084,9.41353,9.385684
"ABHD11",10.388106,9.352556,12.376393,11.546754,8.691161,11.306806,11.361195,9.990452,9.688739,9.3825445
"ABHD11-AS1",4.8053255,4.738322,4.869485,5.384481,4.6652365,4.738322,4.80901,5.537176,5.7596416,5.105016
"ABHD12",6.9680166,8.001225,6.4164996,6.7263823,7.9632096,7.210352,6.597953,7.4033413,7.3243923,7.605515
"ABHD12B",2.8997977,3.4489098,2.433,3.935859,4.2481155,2.350215,2.3484516,4.1278048,3.604798,3.2023613
"ABHD13",7.2587523,8.679308,5.465624,6.097738,9.081345,7.0180016,5.9939404,6.9963923,7.485264,8.348416
"ABHD14A",8.439499,8.165112,9.020255,8.7318735,8.556021,8.983412,8.75003,8.59103,8.2698765,8.49516
"ABHD14A-ACY1",3.0884511,2.42625,2.433,2.5769746,3.0782518,2.350215,2.3484516,2.36195,2.9632823,2.917186
"ABHD14B",13.287827,13.195945,13.738175,13.779031,12.547182,13.251263,13.327143,12.968127,12.802881,12.860309
"ABHD15",9.86146,10.149993,9.188352,10.183255,10.781523,9.26167,10.156052,10.19794,10.299265,9.81801
"ABHD15-AS1",5.667363,5.117792,5.014518,5.823335,4.6457834,4.63701,5.5625963,5.8997254,5.485543,5.344003
"ABHD16A",14.654046,13.912712,14.934132,15.138476,12.794557,14.662558,14.837591,14.613461,14.363215,14.319935
"ABHD16B",4.768913,4.5540433,5.05769,5.018313,4.966404,4.7321534,5.2174377,5.0404644,4.730269,4.795899
"ABHD17A",8.600195,7.9042463,8.857046,8.539078,7.0901194,8.159775,8.41507,8.000511,7.670308,8.154712
"ABHD17B",5.5749702,6.448016,4.6414895,5.1920395,6.805686,5.5282536,5.1103287,5.1929646,5.71779,6.082339
"ABHD17C",5.8070807,6.744872,4.3675957,4.9902935,6.152003,4.598065,5.310213,5.0798616,5.442193,6.9733915
"ABHD18",4.323295,4.8720703,2.433,4.8980703,4.9933977,4.2666097,4.0477552,4.1626334,4.5374565,4.2720165
"ABHD2",6.1213923,6.280955,6.5033245,6.795232,5.5540705,6.0608706,6.2566633,6.2278214,6.1797853,5.996195
"ABHD3",9.828517,10.277744,8.189494,8.900407,10.5244465,9.434506,9.244494,9.344964,9.969209,10.353988
"ABHD4",4.830676,5.163856,4.2529664,4.418648,5.4588366,4.2801924,4.504809,4.8058615,4.981613,5.3119497
"ABHD5",7.2199764,7.9745164,6.460223,7.4724116,7.8391886,7.1872587,6.4892807,8.029059,7.981888,8.331863
"ABHD6",3.692698,3.6812327,4.2279778,3.746171,4.079537,3.9090128,4.284178,4.4580245,4.5788813,4.2933583
"ABHD8",5.3085623,5.628236,5.8101683,5.615583,5.8795104,5.6857886,5.4876337,5.6616797,5.4487796,5.585089
"ABI1",9.837452,9.600151,10.7563305,10.398374,9.159202,10.093103,10.437845,9.744601,9.813791,10.251629
"ABI2",7.505918,8.101235,7.4945054,7.2791576,8.002463,7.1816516,7.3609314,7.3637605,7.1766424,7.720365
"ABI3",9.259233,9.18889,9.506355,8.976704,10.036435,8.74788,9.451637,8.378002,8.566553,9.025606
"ABI3BP",6.7630563,7.1270447,7.28429,6.804292,6.8256054,6.5442066,6.945685,6.497123,6.744357,7.101016
"ABL1",9.85038,9.75836,9.725816,10.230529,9.210253,9.8767,10.169663,9.575988,9.899311,8.91946
"ABL2",9.995567,10.57189,8.869587,9.795008,10.905779,9.827764,10.080867,9.685134,10.101256,10.032355
"ABLIM1",6.6581426,6.575076,7.1470942,6.4988813,5.686014,6.2278214,6.9011555,6.610329,6.51161,6.44392
"ABLIM2",6.01807,5.920253,6.748952,5.9722614,4.959993,6.0421214,5.9955626,5.4674644,5.6142683,6.370612
"ABLIM3",6.004146,5.9639425,6.244874,6.103209,5.5505276,5.6080894,5.9534297,5.9776573,5.999663,5.5196176
"ABO",9.369585,9.49232,9.340173,9.898371,9.595407,9.588117,9.528612,9.942736,9.748064,9.42612
"ABR",8.171001,7.625517,8.565588,8.320231,6.714814,7.853346,8.255543,8.212776,7.7226124,7.6280403
"ABRA",4.0718894,4.640827,3.7256298,2.5769746,5.546933,2.9494045,3.804152,2.36195,4.1304502,4.7325344
"ABRACL",11.68819,12.035198,11.317482,11.1553955,12.400172,12.523093,11.342279,12.597036,11.683476,11.773595
"ABRAXAS1",7.6978765,7.839395,7.017144,7.7313375,7.159921,7.716121,6.8058586,7.6365404,7.922879,7.467537
"ABRAXAS2",10.691253,11.790306,9.192981,10.472567,12.118963,10.733488,10.030024,10.881714,10.911083,11.523765
"ABT1",7.2966146,7.402933,6.665898,7.602001,7.447451,7.569677,6.8892727,7.2153068,7.3680887,7.2021956
"ABTB1",5.1620846,5.276024,4.8202066,5.37971,5.4438367,5.0638375,5.3133163,5.2818546,5.2887936,5.327105
"ABTB2",5.5568314,5.1056433,4.593135,4.7802687,5.7268467,5.5103974,5.317816,5.320731,4.5862474,5.0253105
"AC000032.1",4.53888,4.731764,4.7739806,5.1056433,4.70523,4.5485606,4.739018,4.9908457,4.668778,4.81
"AC000035.1",2.352362,3.4329438,2.433,3.7764683,2.8403368,2.350215,2.3484516,2.36195,2.5736148,2.3220553
"AC000036.1",5.547093,5.597519,5.9151874,5.9942045,5.526895,5.5019083,6.0645576,5.276285,5.5968723,5.562291
"AC000058.1",3.2942777,2.42625,3.3198695,2.5769746,4.767688,2.9874463,2.8351436,2.824657,2.8314724,3.536641
"AC000061.1",7.304905,6.6531,7.5392866,6.8061924,6.600478,7.221519,7.342696,7.1768103,7.1034126,7.434928
"AC000067.1",2.8003333,3.3219187,2.433,2.5769746,2.566779,2.5629377,2.3484516,2.36195,2.6060643,2.7258031
"AC000068.1",5.483886,6.1530776,5.021386,5.8589463,6.171165,6.667016,5.7569723,6.630636,5.8447404,5.86565
"AC000068.2",6.189239,6.1310263,5.5367393,5.846178,6.0649214,6.0527315,5.8068357,6.040864,5.808944,5.759176
"AC000068.3",13.075711,13.573323,12.730615,13.268879,13.773685,13.112135,12.94571,13.26998,13.279091,13.31409
"AC000099.1",4.0485587,3.9035168,3.5967286,2.5769746,4.983909,3.515125,3.9656594,3.3916883,3.5804358,3.0745583
"AC000123.1",3.626974,3.6355686,3.826829,3.5837872,3.8940659,3.2904198,2.7049365,3.8444848,4.7633348,5.0250955
"AC000124.1",2.352362,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.333692,2.3220553
"AC000372.1",2.352362,2.42625,2.433,2.5769746,3.054892,3.3489285,2.3484516,3.008196,2.9104948,2.9189126
"AC000403.1",5.3412046,5.522793,4.5109277,5.143593,6.057941,5.364895,5.0858464,5.236789,5.357845,4.151251
"AC001226.1",15.811079,15.736465,15.770361,15.677269,16.127724,16.03191,15.89367,16.02178,16.00982,15.765592
"AC002056.2",6.1967053,5.9788957,6.408373,6.372535,4.3610883,6.3722477,6.734939,5.9471745,5.913267,5.8234076
"AC002059.1",8.998018,8.53419,5.9204807,5.9375157,6.231225,6.2342725,8.740805,6.6117215,6.735579,6.889924
"AC002064.1",4.655944,4.193345,4.8562727,3.482162,4.8862743,4.8081083,4.459256,4.6946096,5.0067577,4.787966
"AC002064.2",3.9381459,3.522188,3.6339586,2.5769746,4.1698365,4.362314,3.480277,4.042267,4.085911,3.7126338
"AC002066.1",3.614595,2.42625,3.7284973,3.4494915,4.210739,3.603417,3.709445,3.1990547,3.9173431,3.7656128
"AC002070.1",7.2382746,7.1336746,7.0356965,6.7996535,7.624291,7.1142335,7.079624,7.044865,7.172878,7.495256
"AC002074.1",2.8888407,2.42625,2.433,2.5769746,2.4195113,2.350215,2.7593443,2.621961,2.5886223,2.3220553
"AC002074.2",4.226204,4.1313252,4.029207,2.5769746,3.6916137,3.7980032,3.7945714,4.268109,3.6930451,3.4766045
"AC002076.1",3.654039,3.4596164,5.327299,5.2773,2.7664328,5.7380724,3.8761144,5.7470336,4.2763543,3.297402
"AC002091.1",3.8316283,3.9704344,4.223922,4.2324204,4.99759,4.433848,4.391648,4.8540497,4.106912,4.012122
"AC002091.2",4.181089,4.2270823,3.7964644,4.4238143,6.116694,4.7042522,4.778906,4.8150663,3.0811918,3.6099646
"AC002094.2",2.352362,3.4234436,2.433,2.5769746,3.6859136,2.8136518,3.1020925,3.0209138,3.1578481,2.6108522
"AC002094.4",5.980066,6.355055,5.3426437,6.6737523,6.5164633,6.1771417,5.4533153,5.6276035,6.3837967,5.2391047
"AC002101.1",2.352362,2.42625,3.034346,2.5769746,2.3649638,2.350215,2.3484516,2.36195,2.4498868,2.3244247
"AC002115.1",2.8506107,2.42625,3.1037276,2.5769746,2.3236892,2.350215,3.0835366,2.36195,2.333692,2.4160318
"AC002116.2",5.9166083,5.9740806,7.126322,6.6668596,5.7030344,6.665045,6.637315,6.247759,5.9960284,5.4646845
"AC002127.2",2.352362,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.333692,2.3220553
"AC002128.1",4.397587,4.166065,4.141156,4.4277277,4.33216,4.1351867,4.647907,4.4013643,4.072618,4.082097
"AC002128.2",4.0209403,4.347647,3.1756952,4.5311947,3.5459304,3.656866,3.1082196,3.9831893,5.2059608,3.6680048
"AC002306.1",8.27524,7.694191,8.592262,7.7399254,8.532227,8.124934,8.607624,8.4662695,8.421128,8.773508
"AC002310.1",7.1846027,6.6292176,7.827918,7.2580557,6.7669725,7.130605,7.5822506,7.496366,7.0250907,6.7575154
"AC002310.2",5.0274262,4.7560205,5.508791,5.1414595,4.904916,5.0698357,5.364895,4.9944563,4.7796087,4.793964
"AC002347.1",5.0849795,4.8617024,4.707621,5.4626813,4.0988345,5.065062,5.216831,4.148928,4.7528963,4.633489
"AC002347.2",6.485706,6.0696697,6.97752,5.88512,6.341644,6.414361,6.5299654,6.634329,6.560638,6.63653
"AC002351.1",4.955529,4.9521356,5.0905623,4.6978345,5.6234875,4.492234,4.972819,4.7695227,4.827453,5.2315464
"AC002368.1",4.010309,3.3795063,3.7651901,3.9175415,2.9692965,3.8883078,3.739123,3.8220923,2.849373,3.3032987
"AC002375.1",10.1312275,9.094431,10.633328,9.917691,7.809246,9.482423,10.235949,9.708442,8.901325,9.410584
"AC002378.1",5.3400583,5.125809,5.561543,5.298567,5.5780935,5.024098,5.5109653,5.084303,5.0050254,5.3402195
"AC002383.1",3.9223714,2.42625,3.4222739,2.5769746,4.352621,4.709326,4.3249216,3.5798695,4.5397754,4.1857157
"AC002386.1",12.283914,10.59446,13.036127,13.424985,9.259233,12.947594,12.734069,11.498426,11.443947,11.383705
"AC002398.1",3.7784798,4.495309,3.8069715,4.2181478,3.8010716,3.9151735,3.9096465,4.7642264,4.1016884,4.146603
"AC002398.2",7.2056713,7.270178,6.668905,6.948962,6.727769,5.6678944,7.224362,6.354101,6.5785728,5.936892
"AC002401.1",12.07691,10.519252,11.746031,10.766876,11.515544,11.424565,12.051193,11.29581,11.63366,12.050022
"AC002401.2",14.284838,12.5915985,14.727012,14.457563,8.568491,13.721605,14.548897,13.628674,14.578719,13.418917
"AC002401.3",5.2075157,4.323678,5.483085,5.122833,4.4812655,4.495997,5.400717,5.261891,4.7549086,4.7366004
"AC002401.4",4.458488,5.2931657,2.433,2.5769746,5.729588,2.350215,3.182322,2.36195,3.5669742,4.3167286
"AC002407.1",2.352362,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.333692,2.3220553
"AC002428.1",4.3730927,4.115239,5.5163655,4.2451615,3.9913452,4.0746646,4.7097635,5.007706,4.9640226,4.9374475
"AC002428.2",6.6617765,6.217358,6.903997,6.4892807,6.665125,6.6067467,6.7576733,6.6194105,6.581817,6.715667
"AC002429.2",4.2652597,5.6756363,2.433,2.5769746,5.2360716,4.608004,2.9962955,4.526372,4.90376,5.533184
"AC002451.1",6.984671,6.445577,7.082268,7.1782503,7.602001,6.9708114,7.4246297,7.1595964,7.0273604,6.5094657
"AC002454.1",12.320786,11.424565,13.338543,12.966567,4.54226,12.114279,12.76173,12.894213,11.932589,11.266296
"AC002456.1",5.9747286,5.8797126,6.0896716,6.019183,5.5675316,6.196377,5.7232933,5.99144,6.067823,5.884157
"AC002460.1",3.494812,2.42625,3.1519563,2.5769746,3.69923,3.209599,3.4840834,2.8232076,2.751161,2.743247
"AC002463.1",2.352362,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.333692,2.3220553
"AC002464.1",10.136982,10.299265,10.228793,10.373487,10.754382,10.50017,10.26252,10.422726,10.3332205,10.31214
"AC002465.1",2.8710372,2.42625,3.375031,2.5769746,2.4276,3.0867374,3.4961014,3.0176053,3.228881,2.967279
"AC002467.1",7.372593,6.5782714,8.082607,7.452921,5.6851387,6.7365546,7.6969175,6.7116528,6.6315746,6.997504
"AC002470.1",10.792351,10.63225,10.150696,10.170279,12.096071,10.742813,10.490726,10.915685,10.942189,11.09595
"AC002470.2",2.7661436,3.550467,3.2084875,2.5769746,2.5278163,2.9757638,3.2481627,3.2535028,3.3363981,2.6957285
"AC002472.1",6.1746755,5.6263,6.477199,5.440436,6.531204,6.286178,6.0731645,6.1403756,6.01494,6.330984
"AC002480.1",7.0600376,6.434866,7.5996733,6.8568525,7.677414,7.2426634,7.3747883,7.515422,7.343712,7.5627904
"AC002480.2",8.268162,7.542301,9.074758,8.030749,7.6608315,8.301982,8.697593,8.150818,8.126434,8.33358
"AC002511.1",4.593135,4.5561485,5.216083,4.957355,4.8986764,5.0854516,4.857897,5.104739,4.9910746,5.182678
"AC002546.1",6.2290883,5.1921935,5.9607415,5.8400645,4.443564,6.0301857,6.52543,6.450179,4.4770536,5.5361834
"AC002550.1",7.139913,7.241642,7.337739,7.011226,7.1224413,7.2024903,7.268668,7.0779915,7.0494456,7.692508
"AC002550.2",7.4480944,7.912947,6.335895,7.349621,7.8473673,7.405309,7.084657,7.353868,7.748795,7.5015626
"AC002551.1",4.438028,4.3003545,4.81,4.5607743,4.6439047,4.118411,4.2809334,4.4412956,4.1432037,4.528027
"AC002553.1",6.714814,6.9277563,5.8032675,7.203028,6.7725935,6.4757557,6.619496,6.442802,7.212391,6.2684298
"AC002553.2",6.4923124,6.8510466,5.571374,6.595104,6.158477,6.787688,6.3581057,6.0103106,7.1142335,6.6015964
"AC002558.2",5.1371446,5.4237175,5.6203995,4.903475,5.826524,5.004398,5.207179,5.1349316,4.860938,5.347838
"AC002558.3",10.295547,10.485529,10.846823,11.121444,11.094234,10.871115,10.6741,10.733488,10.818526,10.309588
"AC002563.1",3.6548276,2.42625,3.0244486,2.5769746,2.3236892,2.350215,2.9203892,2.36195,2.6775014,2.3436663
"AC003001.1",2.352362,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.333692,2.3220553
"AC003002.3",4.1105165,4.7665105,4.9368606,4.9569693,4.0182405,4.525085,4.481758,5.114073,4.0684614,4.4291916
"AC003005.2",6.69843,5.5532317,6.4379134,6.0838537,5.973498,5.605189,5.8599772,5.8271766,6.2565565,5.9099393
"AC003006.1",4.193345,4.507907,4.2201643,4.455153,2.8433158,4.3404727,4.7150536,4.825761,4.001666,4.519332
"AC003009.1",4.085247,3.0365999,3.499562,2.5769746,4.1436815,3.5967286,3.9839923,3.9083087,3.6430259,3.5133238
"AC003035.1",3.2113397,2.42625,2.433,2.5769746,3.5013974,2.8662238,2.5621061,2.9646935,2.493327,3.2349386
"AC003035.2",5.7229066,5.170953,5.897293,5.2797675,5.1702547,4.978175,5.381492,4.8574386,5.561543,5.053955
"AC003043.1",2.352362,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.333692,2.3220553
"AC003043.2",3.459843,3.8509383,3.7801063,2.5769746,4.140158,3.760254,3.7702036,3.6613727,3.7650504,3.9982634
"AC003070.1",6.9922385,6.781032,6.248819,6.342009,7.139048,7.101804,6.83853,6.823595,6.2804227,6.5827923
"AC003070.2",9.449423,9.964042,8.277206,8.618429,10.63595,9.335865,9.030011,9.51944,9.194725,9.693611
"AC003084.1",2.858273,4.5765705,2.433,2.5769746,2.774985,2.748084,3.0114448,2.6526208,2.6903725,3.0238185
"AC003087.1",2.352362,2.42625,2.433,2.5769746,2.3236892,2.350215,2.3484516,2.36195,2.333692,2.3220553
"AC003092.1",2.614975,2.42625,2.433,2.5769746,2.5030153,2.350215,2.7032988,2.901616,2.5146136,2.796141
