"","GSM1832695","GSM1832696","GSM1832697","GSM1832698","GSM1832699","GSM1832700","GSM1832701","GSM1832702","GSM1832703","GSM1832704","GSM1832705","GSM1832706"
"SLC25A51P4",3.9630866,4.3777538,3.5229916,4.0699191,3.8738423,4.6033236,3.4297428,4.2120448,3.9935584,4.7501884,3.2458101,2.765512
"SLC25A52",8.1955967,7.9868832,7.81278614,8.3230114,7.73990635,7.8983975,7.8476525,7.8573351,7.9626217,8.3538151,7.67435363,7.6526976
"SLC25A53",6.4958525,7.9401703,7.617054,7.4116135,7.66725925,7.095473324,7.6408625,7.6000166,7.6869126,7.14382175,8.2819271,6.36854414
"SLC25A6",13.3394746,12.4149926,12.5946379,12.9302006,12.3743449,13.1147796,12.4557171,12.6019678,12.9364756,12.7637396,13.1761706,13.3903342
"SLC26A1",6.63734726,6.79292873,6.90016464,7.13267711,7.31331543,7.52483467,7.099411046,7.084746396,6.4553147,6.3638697,7.544879,7.28215698
"SLC26A11",8.1291895,7.78962425,7.5200701,8.2869568,8.9811898,9.1673012,7.50164798,8.00048164,8.1130467,8.3763085,9.3137141,9.2163248
"SLC26A2",11.639699,11.1647796,10.3285094,9.0354986,11.0478449,10.1341601,11.3016166,10.8461209,8.8569603,11.6379756,9.6973811,10.2667837
"SLC26A4",2.3180032,1.3950346,3.3342858,1.9031316,1.6795931,2.0974722,2.3521519,0.822026299999999,1.184835,1.4126759,1.9331866,2.5829816
"SLC26A4-AS1",3.8119693,4.8153739,4.5023766,4.3121181,4.9062925,4.8934517,4.4443398,4.3869138,4.0320874,3.7716313,5.3808546,5.3714414
"SLC26A5",4.903245,5.8799086,5.7333575,5.6831265,6.03950075,5.6170731,6.04085926,6.16740516,5.9218026,5.501772,6.3172207,6.5087004
"SLC26A5-AS1",1.4887806,0.7342806,1.6882106,0.1321816,1.7826386,1.7992316,1.6074171,0.905313,1.1557942,0.9900122,2.2680666,3.0992153
"SLC26A6",7.40757183,6.77216152,7.16423134,7.3307343,7.15765384,6.94172195,7.25756458,6.88042358,7.30892376,7.07712177,7.85318473,6.59096626
"SLC26A7",7.25611595,6.056304,8.0373679,7.10930637,7.36944393,4.7142506,7.22508911,4.168314,3.5353089,4.891162,4.0814448,5.2785292
"SLC26A8",1.3282023,0.971127099999999,1.6988612,0.1459296,2.0236876,1.8305812,1.6356536,0.9147886,1.1916126,1.0670776,1.665926,1.9660364
"SLC26A9",1.2880536,3.3420096,1.623941,3.1193524,2.2578931,2.8327999,2.0249892,2.5299276,1.8019476,1.2438841,3.5563569,2.6775216
"SLC27A1",7.86790184,7.408865,7.72785286,7.9054833,7.87803653,7.5368414,7.5410195,7.886756,8.4712315,8.3967286,8.2248164,8.2999754
"SLC27A2",5.01474,4.421568,4.0917573,5.2810688,4.3514228,4.4440422,2.7282091,3.5089766,6.20954326,3.4198428,4.2437076,4.8108502
"SLC27A3",8.6945277,7.8414002,7.7713385,8.4050942,8.00007156,7.61977676,7.9737511,7.95322803,8.7807331,8.4891835,8.4597731,8.5992823
"SLC27A4",7.9249869,7.62894825,6.80100254,8.1264792,7.52010444,8.6955252,6.91031841,7.9819937,7.88047985,8.3150778,9.296732,8.4722338
"SLC27A5",6.21645454,5.5776105,5.8875552,5.6226082,5.9715386,6.15375713,5.7904721,5.6574049,5.247346,5.9910756,5.4864111,6.17284063
"SLC27A6",4.6545592,5.1904645,6.83105758,4.5751992,6.90372852,5.0744896,5.5929275,5.0919829,4.1302706,4.4263926,5.4299169,4.4562606
"SLC28A1",3.2111836,3.8331342,3.6538176,3.9342113,4.2356468,3.7911086,3.3081336,3.3645678,2.4396766,2.8781336,4.6520658,4.3489346
"SLC28A2",3.6480923,3.9874616,3.0309143,4.2632576,2.8700819,3.6527515,2.2397089,3.4407636,5.3994274,3.2647248,4.9769903,3.418068
"SLC28A2-AS1",1.1509426,3.5726161,1.746934,2.9963503,2.6392436,2.3357249,2.1118479,2.3365293,3.0356098,1.0971546,5.5144105,2.6176616
"SLC28A3",3.6210036,3.224485,3.3397103,3.4058528,1.6533996,2.3981629,2.4173222,2.9303842,2.3254938,3.6944136,3.1611976,2.9080892
"SLC28A3-AS1",1.2880831,3.1203399,2.0935693,2.0139871,2.8813006,2.3704876,2.1838636,2.9730466,3.6154333,2.4301006,3.4472108,3.4039866
"SLC29A1",7.271781,7.50680927,7.0454903,7.47576526,7.4489489,8.0473681,7.20096973,7.17608455,7.20297722,7.7009392,6.21675876,6.2974186
"SLC29A2",5.9800368,5.0562458,6.0045042,4.6089454,5.1555133,4.9371968,5.6805573,4.8900333,4.1302982,4.9701429,4.8660908,4.5771476
"SLC29A3",6.80644706,6.7995129,6.4335089,6.59958366,7.035417592,6.84208015,5.5293942,6.4845534,6.61896137,6.73113063,7.97911457,5.7887578
