"","GSM1832695","GSM1832696","GSM1832697","GSM1832698","GSM1832699","GSM1832700","GSM1832701","GSM1832702","GSM1832703","GSM1832704","GSM1832705","GSM1832706"
"A1BG",5.2939525,5.7590647,5.685216,5.8455429,5.4329439,5.8768549,5.6008921,6.2146464,6.3721657,6.0947762,6.1813851,6.13220075
"A1BG-AS1",4.8768034,5.617157,5.3721819,5.3543797,5.4525123,5.8907972,5.110045,5.709446,5.3579569,5.5600844,6.53990225,6.22163204
"A1CF",2.1172629,5.2434402,4.3803258,4.6979556,4.7172637,4.0333891,4.3731404,4.3569928,3.9384604,2.9726591,5.6422167,4.6705476
"A2M",11.5793076,10.8484564,9.8214541,10.7613536,10.3006745,10.5286618,10.6048317,10.6229658,10.2406674,11.1538086,10.6412764,10.305377
"A2M-AS1",5.0809565,5.1576486,5.5229798,4.6275354,5.3086005,4.9852916,4.5648294,5.0254922,3.7237196,4.7071834,4.0039216,5.3796254
"A2ML1",3.9890828,3.1628514,4.6311736,0.5121103,4.3669381,1.7771302,3.7739692,1.6369786,1.1797271,1.0908871,2.117004,2.9247026
"A2ML1-AS1",8.3475132,10.6200114,6.69378475,9.0499411,9.7032853,10.7516146,8.9817353,10.3984299,9.0591383,10.6088934,9.4107418,9.6695538
"A2ML1-AS2",1.5312529,4.0147876,3.5844589,3.3806649,3.6790986,3.6833649,3.1626373,3.6978193,1.6973466,1.9008313,4.3428716,3.2023359
"A2MP1",3.1896248,3.3317843,2.5973802,5.2305947,4.0344396,4.7968202,2.8059421,2.6862049,4.5991278,3.9717546,4.8792844,3.8849354
"A4GALT",10.3373452,9.519413,9.8871661,10.1524582,10.2649384,9.5129576,10.22575,10.0316344,10.26577,9.6580658,10.4635363,9.6332951
"A4GNT",0.9740391,1.3385216,1.7973966,0.508008999999999,2.3539486,1.8550186,1.6412536,1.904809,1.212523,1.2549138,2.2864733,2.4668351
"AA06",4.3880206,4.1719752,3.8989025,5.677208,6.17470745,6.20259145,4.4592967,4.2584129,4.4377013,4.875012,4.1228624,4.2505451
"AAAS",8.7932263,8.0937271,8.6366482,8.2796946,8.4727516,8.054327,8.2008553,7.9579497,8.0450936,8.3242455,8.4237042,8.4727831
"AACS",7.37321952,6.82159427,7.063258206,7.12011341,7.08646396,6.7938929,6.94079021,7.028035199,7.13360027,7.24163059,8.0946894,7.22613815
"AACSP1",5.0809884,5.8496676,5.3208895,5.5023051,6.5085669,6.486074,5.7698498,5.5887566,5.609839,5.4745546,6.931906735,6.4678221
"AADAC",1.5434176,0.833869,2.1502626,1.5715196,1.7632408,2.0780936,1.6694526,0.9032706,1.9315963,0.941848599999999,1.5716486,2.897276
"AADACL2",0.989282599999999,0.7873173,2.0121246,0.833002599999999,2.0424381,1.8772626,1.7253076,0.9560996,1.460723,1.1002996,1.793273,1.9418906
"AADACL2-AS1",2.1667696,1.819685,4.1436525,1.5142169,3.9853144,2.3811816,1.7803769,1.6910391,1.433734,1.2736678,2.6424216,3.3620086
"AADACL3",11.457532,11.9947416,11.7744036,11.8676739,11.9512139,11.3036433,11.9119576,11.9861451,11.9093523,11.7403736,12.1243046,11.7665301
"AADACL4",2.7381976,2.9740401,1.9028001,3.2895942,3.1356769,4.1864716,1.5352306,2.8315086,3.4565873,2.3423816,4.5742798,3.6936155
"AADACP1",5.4349313,5.5356517,4.8560486,5.9901047,6.3783646,6.3120089,6.3189068,6.05173496,5.9888039,5.4960576,6.7851291,6.4104233
"AADAT",5.8723612,5.2563186,6.97438911,5.4352866,5.4703021,3.8049794,5.5686312,5.4620309,4.9302136,5.2167535,4.1690636,4.9804378
"AAGAB",7.49867157,7.5637045,8.135437,7.8931313,7.3029881,7.33506874,7.8821192,7.6071959,7.79066566,7.7481766,6.7500997,6.979527985
"AAK1",11.8133211,11.1171742,11.050457,11.4813216,11.322486,11.7396986,11.1657476,11.1834516,11.6570246,11.7254296,11.8592091,12.0656233
"AAMDC",7.9909592,7.69165996,7.8565989,7.6103068,7.229044,7.063015973,8.0916081,7.69684414,7.62951664,7.95779804,6.75665144,7.19012741
"AAMP",9.2383891,8.1822148,8.1043215,8.426385,8.258112,7.88877777,8.4154721,8.1089287,8.3562651,8.9795084,9.2555571,7.86655906
"AANAT",6.1496935,6.60009578,6.73073867,6.83783344,7.52418045,7.34907726,6.7598906,6.6440554,6.72724346,6.7437859,7.9938183,7.47478393
"AAR2",0.9576474,0.834611,2.7558861,0.2552806,1.8123096,1.8782211,1.653627,0.9596043,1.1634293,1.0809431,2.2022229,2.6265336
"AARD",0.897864599999999,0.7450236,1.7269521,0.7800616,1.8099709,1.8548206,2.1609286,2.0385216,3.1385393,1.6973536,2.0989533,2.6878956
"AARS1",10.7710019,10.9003116,10.5574828,10.7531796,10.8324786,10.9713736,10.8579579,10.8308936,10.3972178,10.8512555,11.200656,10.7517557
"AARS2",7.12938217,5.9704075,7.5624476,5.8622094,6.4085694,6.55872015,6.4948769,5.7284241,5.8093047,6.45684913,3.5710464,5.4340945
"AARSD1P1",2.7267446,3.8545686,3.9275813,3.5739813,1.9663586,2.1476926,4.2296291,3.5869212,3.4797068,3.0654574,2.2715266,2.6314356
"AASDH",7.5848265,7.3074265,7.5676146,7.32225803,6.46021656,6.26232055,7.61726764,7.04507545,7.34487632,7.25209716,6.0122314,6.75012783
"AASDHPPT",7.55841736,7.8666916,7.7159243,7.13580135,7.24537853,6.84978393,8.1604405,7.28590873,6.67088512,7.7440348,3.9908305,6.3538971
"AASDHPPT-AS1",3.3777194,5.2406316,5.2816491,4.4533926,5.4519616,5.0454569,5.4435511,5.101697,4.2486711,4.6636096,3.1291519,4.9702292
"AASS",8.5034285,7.98503593,7.7554865,8.3588505,7.4094887,7.059289967,7.75552086,7.9671145,7.85875133,7.20635227,6.4210525,7.007286584
"AATBC",7.23785785,7.028731381,7.2671986,7.7716179,7.5485869,7.7515421,7.111508404,7.44414238,7.65094665,7.38478855,7.75105003,7.36444572
"AATF",8.1396323,7.19421486,7.38228897,7.38341526,7.507885,7.0482674,7.18324379,6.97850517,7.45007518,7.79324344,8.2810107,7.1816006
"AATK",6.56050972,6.90655521,6.79735569,7.004375493,7.69610313,7.9157839,6.9659634,6.79177765,6.92527202,7.02038387,7.9012423,7.9569216
"ABAT",7.9521647,8.6927691,7.8469887,7.95391754,6.83127693,8.9796667,7.6474133,7.6271887,7.39786342,9.2619114,6.89624885,7.044034516
"ABCA1",10.7028227,11.3270893,10.6008501,10.2300759,11.0110006,10.6799279,10.0479126,10.4915381,10.9115811,10.7069606,11.2108193,10.5928956
"ABCA11P",4.5183282,4.8423986,4.946003,4.5904466,4.3820734,3.970727,5.0242315,4.4358836,3.9108758,4.420239,4.5724454,4.0097313
"ABCA12",7.37745193,5.3758336,6.32710556,2.7555042,5.8052321,3.5952426,6.981338536,3.2743121,3.4893532,4.8395296,5.3351879,3.6848069
"ABCA13",0.8882032,0.6478416,1.7310052,1.86375,2.7939236,1.8311649,1.5311671,0.825019899999999,1.2322359,1.7149773,1.7734356,2.2325774
"ABCA15P",7.5153847,7.21123794,7.108648335,7.074174916,7.8947907,8.1142617,7.6049624,7.60647014,7.39501766,8.00254444,8.5224524,8.762846
"ABCA17P",0.9513092,1.7342391,1.799511,0.356422599999999,1.7691121,1.8925416,1.649108,0.9097366,1.2989922,1.0577851,3.1419411,2.4469071
"ABCA2",9.6997919,8.8424368,9.2670356,8.656271,9.414959,9.275405,9.3041696,8.566104,8.5185032,8.5111065,9.7764292,9.4188681
"ABCA3",8.1926604,8.0704746,7.5201197,8.4473276,8.3616257,9.1795531,8.1605301,8.0974541,7.68789104,8.9880104,8.4372855,8.9126788
"ABCA3P1",0.775320099999999,2.8764766,1.9736406,0.2349272,1.6007519,1.7918436,1.5137846,2.9539536,1.1565609,0.920410199999999,3.4858026,2.3808956
"ABCA4",5.179574,5.5166769,5.168922,5.8488589,6.1908894,6.4376073,5.6767097,5.2512551,5.4053626,5.5798068,6.422102,6.0751343
"ABCA5",8.0208674,6.71165374,8.1336336,6.50973324,7.41253475,6.4641452,8.2252369,6.66722778,6.2889519,6.55855373,4.7564998,6.91608337
"ABCA6",3.6936918,4.549057,4.5254116,5.7717352,5.1009298,5.2860971,3.8938332,4.3962002,6.67243103,4.2678399,4.6534334,4.7405539
"ABCA7",7.76461414,7.41029743,7.08802036,6.980806386,7.32456783,7.54099945,7.3570309,7.23505691,7.5760594,7.37941078,7.9000836,7.10303119
"ABCA8",9.0994368,7.7095833,8.8078623,8.5670128,9.2190036,8.8265391,7.33441833,8.9994212,9.1051446,8.1472445,8.0676833,8.809125
"ABCA9",12.0420446,13.3093016,12.858819,12.7710801,13.394332,13.5509206,12.8953456,12.8596966,12.8337393,12.4879132,13.2588176,13.4248019
"ABCA9-AS1",0.881328099999999,0.7223836,1.7347076,0.133345599999999,1.7691779,1.8256036,1.5748716,0.8405106,1.1657666,0.991776,2.1119871,2.4876626
"ABCB1",7.7677508,7.55422786,7.46206955,7.9326172,8.1044865,8.01060585,7.130149876,7.6545363,8.3300581,7.65669826,7.1654406,7.89148334
"ABCB10",6.41905025,6.0574608,6.0403958,6.597065,5.3786474,5.615819,6.33022884,6.56457904,6.90758804,6.6366444,4.1478224,5.5077987
"ABCB10P4",5.7973581,5.6335259,5.4440828,6.0372124,4.9552365,4.581153,5.5606795,6.1081095,6.27943996,5.975998,4.5472489,5.3810969
"ABCB11",0.841259,1.0015269,1.6895026,0.467437599999999,1.7249689,1.8163891,1.571971,0.8575611,1.1431426,1.2658656,2.2001336,2.6968251
"ABCB4",0.893276599999999,0.7671891,1.7295646,1.7296729,1.7649546,1.8206956,2.2601424,1.4063666,2.6602393,0.994780599999999,2.4091082,2.628418
"ABCB5",2.3234711,3.6975808,2.2012692,3.1830683,3.3604536,2.3138519,2.7145243,3.4416294,2.6144982,2.0992399,2.9081211,2.6545763
"ABCB7",7.8941584,7.43465618,7.8596659,7.6428433,7.43294338,7.30432323,7.7428332,7.4900904,7.723383,7.8644066,6.44304184,7.5496016
"ABCB8",7.6018315,6.8359547,6.53290466,7.065850293,6.69493488,5.8335324,6.82785419,6.90806297,7.2782803,7.33863357,7.4148226,7.49674705
"ABCB9",6.59861854,5.2128916,6.3862696,3.9033184,6.4428635,4.7855182,6.06657413,4.1556702,4.1567064,4.6053376,5.9930387,4.5780396
"ABCC1",7.5621729,7.25908474,7.019713437,6.88405422,6.2400017,6.49523166,7.62154773,7.38329986,6.985186612,7.3689032,7.053397214,6.26639846
"ABCC10",8.2418261,8.0674639,8.1229716,7.8922177,8.1591683,8.1173315,8.0057831,8.1006213,7.7996655,8.3336659,8.7535277,8.0835448
"ABCC11",0.876290399999999,1.3157386,2.4093766,0.7521596,1.8559236,1.8073786,1.6454401,1.7342606,1.1879226,1.5994026,3.8613663,2.9807306
"ABCC12",0.9602862,0.805848599999999,1.8376799,0.7070086,2.3815461,1.8646416,1.604713,0.884332199999999,1.5598336,1.0630056,2.5653592,2.3366399
"ABCC13",3.3514486,1.0715981,1.7407556,0.286474299999999,1.6405576,1.7742576,1.5387841,1.0167076,1.1513556,0.944275599999999,1.6631906,2.301548
"ABCC2",3.5927062,4.6292358,3.6949172,4.3235832,4.1880083,4.1956086,3.5213013,3.6231032,3.3577981,2.9028421,4.4508105,4.1977435
"ABCC3",7.22713665,8.4833184,4.1640983,9.4201393,8.9184876,9.5895319,6.67021755,8.7720843,8.8061276,9.0759182,10.2927332,10.0373546
"ABCC4",5.699544,5.3637286,5.8691874,5.2944937,4.5599246,4.7380619,5.4189263,5.558383,4.6968685,5.8516894,3.8911096,4.4612213
"ABCC5",7.4908381,7.2471085,7.29279808,7.34891132,7.6736565,7.38929657,7.3946028,7.49695114,7.29620746,7.5681439,7.94870475,7.55912784
"ABCC5-AS1",3.1485253,4.7059369,4.1048894,4.3115602,4.8059378,4.6612396,4.4986973,4.4189659,4.008441,3.6708298,5.3359118,5.0712295
"ABCC6",1.195776,0.909264599999999,1.7916069,0.537685,1.7723456,1.8604222,1.6226626,1.8880796,1.1963126,1.0601776,1.9502712,2.4730792
"ABCC6P1",4.5681901,3.8839356,3.3788356,2.9386346,2.8470011,2.0635429,2.9763786,2.4018956,2.6795786,1.5144386,3.7079706,2.3766199
"ABCC6P2",10.0223132,10.1395111,9.6489239,10.3080559,10.4271593,11.0605156,10.1130934,10.2979784,10.2770281,10.3800306,10.4011736,10.7236262
"ABCC8",8.1483298,7.8037167,6.83402923,7.6596842,7.8153029,7.89898685,7.86435894,7.3986254,7.1402016,7.679863,8.2566071,8.8521071
"ABCC9",6.4839211,6.6577702,6.44885925,7.5883351,6.98583225,6.7024508,6.64949802,7.58224586,7.3469372,7.05036167,6.72616008,6.85087017
"ABCD1",4.0918064,4.5428644,5.4661866,4.4716568,5.1888848,4.8441811,4.2640152,4.2695523,3.9272346,3.7685032,5.2248726,4.9494791
"ABCD1P2",7.89216903,8.591877,9.1223374,8.8117066,9.019167,8.9425984,9.0140782,7.9490471,8.5703411,7.8749304,9.8547621,8.729434
"ABCD1P3",6.33785156,5.7018547,6.32134155,4.8970604,5.4224425,5.3744274,5.7048521,5.140903,5.2803917,5.2558999,5.8039484,4.334548
"ABCD2",2.8017321,3.5081301,4.6418858,2.5065376,3.9062248,1.8584816,2.0824186,1.6961251,3.0361843,1.910223,1.9136996,2.3487053
"ABCD3",8.1524229,9.3828488,8.6755343,9.3645134,9.560503,8.4573613,8.6992226,9.0874977,8.8196097,8.4597149,10.4266339,6.08317474
"ABCD4",5.7987295,5.6448861,5.6536866,5.6747284,5.7689858,6.21481756,5.7476483,5.8156348,6.4385348,5.9463826,4.764936,5.6862965
"ABCE1",9.30054,8.7948637,8.5630741,8.7841492,8.3352623,8.6408816,8.6843739,8.6986742,8.5235501,9.171917,8.2112685,9.1145316
"ABCF1",8.4878464,7.85647587,7.819438,7.7479649,6.84109214,7.31264404,7.737793,7.7317267,7.80088714,8.009079,7.7752371,7.25196556
"ABCF2-H2BK1",9.5658866,8.7970276,8.178916,8.9238711,8.1724587,8.506754,8.3438502,8.427928,8.0933199,9.0193634,8.6243334,9.0080958
"ABCF3",7.89450077,7.27021698,7.6435614,7.30652813,7.17003635,7.7075663,7.47989277,7.14915374,7.1797419,7.65121654,7.5819264,7.6995125
"ABCG1",10.3855381,10.4405241,10.2118292,10.486619,10.4590083,10.7361603,10.3288222,10.9197789,10.9549981,10.6844674,10.9466629,10.6932956
"ABCG2",4.8733311,5.4885106,5.6048384,4.2001186,6.12212757,5.1315384,5.2529211,4.699245,4.9729472,5.169962,4.0170936,5.0315338
"ABCG4",2.5857773,3.0588699,1.6079816,3.1217996,3.3871904,3.3632012,2.3696196,2.4719856,4.2268539,1.6077123,3.8668352,2.8787906
"ABCG5",2.0679541,1.010891,1.7154999,0.154347,2.0624209,2.1477646,1.5452762,0.922963599999999,1.1925106,1.9871292,1.869771,3.0407508
"ABCG8",6.0176764,6.39296344,6.12297443,6.42877105,7.02922443,7.29813293,6.59858993,6.5553818,6.67000774,6.3925076,7.20319847,7.024731194
"ABHD1",4.6127777,4.4733272,4.3298045,4.6445723,3.8025494,5.0519362,4.8333756,4.8886533,4.9351888,5.6314655,4.5310126,4.5784273
"ABHD10",2.010809,1.0355564,1.6289076,1.0677196,1.6206231,1.7805033,1.8803273,1.2276846,1.8531609,1.9104446,2.5810596,2.3450976
"ABHD11",9.896699,9.4940596,9.4511338,9.3108769,9.5145998,9.6580686,9.4829579,9.291256,8.9270573,9.6162901,10.7033759,10.1406594
"ABHD12B",5.4736348,5.872387,4.9660216,4.9108568,4.6742554,4.465374,5.9650212,5.9884014,4.5375662,6.21636776,3.8750526,5.0409227
"ABHD13",0.8067952,1.3747436,1.6005383,0.2661462,1.7330696,1.8149262,1.9095741,1.2608333,3.2470518,2.2346326,2.2834166,2.7338326
"ABHD14A",8.7729349,8.4863835,8.1683359,8.7104893,8.7075787,9.3498164,8.4982911,8.6944914,8.2592259,8.9150238,8.7994013,8.5917883
"ABHD14A-ACY1",8.0849743,7.69063095,7.928155,8.0927897,8.0409985,8.3099852,7.8560906,7.54121784,8.3415938,7.8354302,7.9720469,8.3049364
"ABHD14B",8.4573145,7.76679424,7.8052035,8.1272049,7.43624118,6.82521156,7.91365245,7.30484966,8.1757336,8.014369,7.5938368,6.998172318
"ABHD15",5.749228,5.8219433,5.4689808,5.4265967,4.5793296,4.9961516,5.471695,5.9106722,6.0331898,5.9008804,4.0848799,5.053402
"ABHD15-AS1",6.3753462,6.60441784,6.22113994,6.72960952,6.7195883,6.94137863,6.58225254,6.73064235,6.76139835,6.984206235,7.065319096,7.17048553
"ABHD16A",8.7700491,8.2757693,8.095665,8.0595398,7.6728287,8.3788157,8.1119242,7.9695597,8.4882202,8.7067376,7.6758185,7.1875296
"ABHD16B",3.9375601,3.8953096,3.8116179,4.0443916,5.0647202,5.0358391,4.2275081,4.1524444,3.7490186,4.397029,5.0410858,5.9333759
"ABHD17A",8.0960131,7.8080292,7.34016517,7.8028946,7.8859425,7.5973406,7.6133938,7.8923073,7.8739758,7.9177418,8.5407057,7.3796759
"ABHD17B",6.61367706,6.3407746,6.2524443,6.0977173,4.4592014,4.8825331,6.6944304,6.3765917,6.77612308,6.41642955,3.723485,4.3343106
"ABHD17C",8.4720555,8.6618939,8.2860356,8.9114819,8.5212231,10.3400136,8.7808666,8.9735289,8.719328,9.9341641,8.522193,10.4889698
"ABHD18",6.88759712,6.91675571,6.74967865,6.87158111,6.60889057,6.982378995,7.22412685,6.50686554,6.370389,6.967758214,6.4835229,7.2969065
"ABHD2",9.0411368,8.388897,8.4134579,8.4642659,8.3219567,8.5510989,8.6258488,8.3317404,8.8361893,8.8245411,7.7168522,8.3829031
"ABHD3",4.6043654,5.069654,4.2460166,4.9059577,4.7112422,3.4056664,4.2841158,5.0360518,5.0063429,5.1713829,2.8811196,3.2113953
"ABHD4",8.3311167,8.046484,8.0348473,8.4965516,8.4827996,8.2422161,8.1447993,8.0399571,8.5184307,7.8688088,8.2150507,8.3053542
"ABHD5",10.4106074,10.2312241,10.6471644,9.2887431,10.2858668,8.4765997,10.2769814,9.5182696,9.0028782,10.1649486,10.2042266,8.7535878
"ABHD6",6.73318008,5.757988,3.6968861,5.7069998,3.9273911,4.6544696,5.8941536,5.0452085,6.4820748,6.69607357,3.0640211,4.2846442
"ABHD8",6.59732155,6.64972118,7.18097213,6.59723667,7.047531163,6.7618876,6.8777037,6.83867649,6.69083027,6.42187694,7.23506073,6.80784563
"ABI1",6.6635199,6.60243324,6.7978764,6.63452724,6.13430885,4.0868206,6.7195702,6.45062164,4.1299038,6.65916256,3.5856343,5.4456492
"ABI2",7.2539225,7.06522182,7.33406452,7.10004047,6.953620946,7.22822288,7.5343018,7.38725952,6.958092724,7.5691748,5.988729,7.51296905
"ABI3",6.5043898,6.4731503,6.0866995,7.30941967,6.67227558,5.7423058,6.0464306,6.2657042,7.8980389,6.976137196,7.39650634,6.67512563
"ABI3BP",12.0975066,11.3558369,11.0299456,12.0919256,11.275261,11.6225846,11.0881691,11.9417086,11.2121516,11.5525093,10.8086596,11.514412
"ABITRAM",7.34222892,7.04082874,7.33680633,6.990160977,7.025733983,7.26802925,7.053049122,7.39922527,7.11214069,7.43691448,6.10546163,6.974061047
"ABL1",10.467124,9.9530869,10.1270866,10.0180188,9.9003229,10.1108846,9.9656983,10.0248251,10.6857682,10.400877,9.8230219,9.2756186
"ABL2",7.6716843,7.30681518,7.45147804,7.65098385,7.25231365,7.76454834,7.27882198,7.5005751,7.09171871,7.7501145,7.015901601,7.40445427
"ABLIM1",8.2050429,8.5622273,7.96305755,9.0277539,8.7728539,9.1890841,7.6522751,9.2412062,8.7482033,8.7465992,8.3239317,9.2315398
"ABLIM2",3.8134336,5.4115572,3.508545,5.2140718,4.0732808,4.5386739,3.7771636,6.5119505,3.8688631,5.8619967,6.95535091,4.6146365
"ABLIM3",6.971142804,7.09751419,7.9534674,8.2748423,8.0578184,9.2350646,5.5071316,7.70555595,8.8999052,5.8932958,10.1876631,8.8886891
"ABO",15.2164696,14.1693076,15.1819986,14.9194086,15.3711296,14.9918776,14.1179219,14.6430676,14.9131432,14.2690316,15.6940396,14.4863566
"ABR",11.0482046,10.4802084,10.4802399,10.9780493,10.6706772,10.1442652,10.4338026,10.5468246,11.3467903,10.9665499,11.3457861,10.8177976
"ABR-AS1",4.0771089,4.7813454,4.8190217,4.3662129,4.9783826,5.0289765,4.7756558,4.9931903,4.6034103,4.2210908,5.3014269,5.4948993
"ABRA",0.839788,2.0519396,1.7059296,2.0845886,1.7288426,1.9566956,1.598207,1.3795846,1.498178,2.4822531,3.4499436,2.8282756
"ABRACL",9.8504686,8.9448967,10.0720101,8.9421597,9.361538,9.6473093,9.4706612,8.9228602,9.4224902,9.7832413,8.5462313,9.8908091
"ABRAXAS1",6.90321926,6.83845524,6.967898404,6.65306572,6.23012355,6.3848663,6.907415425,6.995519673,7.5481873,6.988296544,5.2170959,6.14705566
"ABRAXAS2",5.6885839,5.5294285,4.6600446,5.3436423,4.7166772,4.768127,5.6016083,5.6908045,5.5064316,5.7033596,4.2058711,4.1432352
"ABT1",5.3285132,5.6930161,5.5134898,5.4348546,4.6624766,4.7143002,5.3707095,5.4333458,4.8301134,5.2807765,4.1381388,3.1831298
"ABTB1",9.0955476,9.7451048,9.4017983,9.5096226,10.3834429,10.6103602,9.7964478,9.8853178,9.6342259,9.6543341,10.1900846,10.5110407
"ABTB2",6.62584404,6.80759815,7.1702166,7.2358828,6.919497525,7.744278,6.65646175,7.5892935,7.7925091,7.41621212,7.12529281,7.79642204
"ABTB3",5.4591174,5.5328551,6.76618961,4.8807063,5.8971396,4.8384571,5.7874232,4.5447975,4.442935,4.6514606,5.9792529,5.9248042
"ACAA1",9.2763157,8.4271584,8.6077967,8.4015713,6.954528844,6.96746162,8.8244572,8.5309363,9.1262761,8.7737999,7.79149727,6.955241715
"ACAA2",9.2432223,9.3085728,8.6855364,9.5529394,9.013629,9.6484881,8.9948969,9.1763668,9.6553851,9.0983658,8.6758986,9.8656922
"ACACA",8.1904497,7.4096928,7.7947703,7.217289,7.40869335,8.3543606,7.39795498,7.56336216,7.088880574,8.142952,7.5614138,8.6272917
"ACACB",7.08156494,7.09879688,7.23369697,7.0950518,8.0392123,6.08635715,6.79277614,7.061508214,6.91605476,6.4879246,7.3601847,7.070671593
"ACAD10",6.94881443,6.892268216,6.93308643,6.6669083,6.537097,7.017926251,6.975023305,6.4135466,6.5852795,6.5860453,7.036214863,7.046554124
"ACAD9",8.2091513,8.1459465,8.5325489,8.2834912,8.579609,8.6601096,8.6588202,8.3786383,8.2303677,8.4474411,7.06721786,8.9876719
"ACAD9-DT",6.0962792,5.5263644,5.863514,5.2704239,6.2912827,5.7360831,5.3694368,5.9512406,5.3704701,5.901197,5.0390511,6.5081859
"ACADL",5.2609916,3.5318094,5.7032042,3.7048431,4.3711739,3.0636244,5.3630906,3.2149392,2.1312196,3.3433342,2.6648016,3.8209901
"ACADM",9.4810849,9.0241661,9.0886106,8.9267846,8.8597479,8.723157,9.3634024,9.3833486,9.1563273,9.287736,7.34894088,7.5216103
"ACADS",6.2194815,4.9059696,5.5166598,5.4549656,4.6991463,3.9323879,5.4620986,4.5046773,5.1380854,5.1160355,5.637578,4.6525064
"ACADSB",6.3732205,7.4796038,6.0735064,7.46168522,6.87334732,7.37139133,5.9634018,7.072217976,7.67911724,7.8417845,7.84402374,7.38938907
"ACADVL",11.3723803,10.5355254,10.9195881,10.6846781,10.6197586,10.6149969,10.9705849,10.4934292,10.6078282,10.8517809,10.6360446,10.9452496
"ACAN",6.50414756,6.86709789,6.2565928,7.35039714,7.33308414,7.8583918,7.018489873,7.3268042,6.4034348,6.60180763,7.63945583,7.8646212
"ACAP1",5.0080829,4.8972126,3.9005704,5.7826643,4.3964129,4.1318279,3.8931532,4.2148171,7.08666614,4.6291246,4.8339176,4.9697647
"ACAP2",7.08049396,6.51677517,6.78280166,6.69702152,5.9836049,5.9565239,6.8450375,6.63762954,6.969821965,6.3680115,4.1688347,6.2183819
"ACAP2-IT1",1.8959766,4.0424734,3.5206862,3.9264918,2.227212,2.51929,4.3673626,4.4237318,3.7969686,3.375391,1.9854551,2.5624733
"ACAP3",7.6731215,7.33980945,7.26977256,7.30288318,7.6251774,7.9719477,7.3602362,7.79608825,7.4407883,7.43947796,7.8399964,8.2651444
"ACAT1",8.6589861,7.9747143,7.96258453,7.7833462,7.7125464,7.45706943,8.5312634,7.6498404,8.044899,8.4483386,7.6658173,8.0792342
"ACAT2",9.0326538,8.5006581,8.9896098,8.7039671,9.0651188,9.3588381,8.9918995,8.8508568,8.7599182,9.2272549,8.8621979,9.6718521
"ACBD3",6.78079704,6.90898708,7.40211586,6.74995617,6.888875996,7.04684261,7.048133885,7.17741874,7.37141422,7.09462169,4.29,6.79760173
"ACBD3-AS1",4.2182846,4.302042,5.0387779,4.335042,4.8752466,3.7646981,3.5522719,3.9228296,5.8239146,2.6888399,3.1949888,3.2147056
"ACBD4",6.77696518,6.90250782,6.79221824,6.651269,7.27457622,6.9463034,6.97682384,6.3630572,6.41334156,6.20497516,7.46243004,7.8978453
"ACBD5",8.1304016,7.94391254,7.61921695,8.1083546,8.0398789,7.6178961,7.64801696,7.78032974,7.81860546,8.449709,6.5990086,7.8013926
"ACBD6",11.1523009,9.9372445,10.1166878,10.2038174,9.5506029,8.5259848,10.2216673,10.2532091,10.16325,10.4825421,10.4873419,8.9137869
"ACBD7",3.910039,2.9962669,4.614686,3.7688786,3.0598479,2.1463461,2.9503986,1.9950866,3.7860418,1.6927982,1.6346379,2.1464106
"ACCS",3.9930268,4.8201127,4.7162814,5.0206356,5.0474501,4.1044116,4.1306057,4.1181732,3.7297326,4.4128151,4.6902356,3.1759926
"ACCSL",2.5381436,3.3690176,2.2190466,2.2572296,3.264329,2.3449693,1.8686946,2.493516,1.8236086,0.9910456,4.022111,2.2530136
"ACD",7.064059292,6.53778938,6.8733168,6.8950539,6.8370705,7.25093368,6.65472988,6.63154033,6.72384552,7.076334035,6.82855896,6.26606134
"ACE",9.0119944,9.8345433,8.8000193,8.8788939,10.0474911,9.8631182,9.3319216,9.4660636,9.206131,9.4138546,9.3673544,9.5086184
"ACE2",4.0495758,2.4038864,2.7220866,1.9377499,1.8080006,3.8566208,2.8161602,2.4501056,2.9954329,3.4445076,2.162086,2.6449426
"ACE2-DT",1.1198846,0.6942463,1.8628776,0.552724599999999,1.7197816,2.5569956,1.5534736,0.812960199999999,1.1604246,0.9316559,2.1346676,2.751688
"ACER1",6.82445625,6.78912357,6.1776467,6.955837285,6.987394368,7.712966,6.5778542,7.47068695,7.18529514,7.40892128,7.9856892,7.13870243
"ACER2",7.08945755,6.1209088,5.7521086,6.0267096,5.8249894,5.7435971,7.027261769,5.9909125,6.08181766,6.3886233,6.60454324,6.2765403
"ACER3",8.3654013,8.2022124,7.72484115,8.2025299,7.59386257,8.035903,7.9714127,8.1383276,8.0769215,8.3113671,7.7181902,7.84737304
"ACER3-AS1",1.5407801,2.0056692,2.4246236,2.5427506,2.176713,2.790236,3.6139012,1.4307956,1.3789111,2.1677742,2.3278151,3.2177706
"ACHE",4.3402348,4.3762761,4.3248896,4.4602762,4.4076566,4.5469876,4.4038072,5.0195985,4.3226176,4.6523556,4.989564,4.5471382
"ACIN1",8.72326,8.3061753,8.5458107,8.7085915,8.6890116,9.0011397,8.4764815,8.4391175,8.6697398,8.7176085,9.1452723,9.3282729
"ACKR1",5.5179577,7.5270386,4.2353301,8.4846564,6.60046772,5.8323164,1.9575663,6.3915816,6.8019276,6.54206852,6.97452644,6.24121956
