"","GSM3045867","GSM3045868","GSM3045869","GSM3045870","GSM3045871","GSM3045872","GSM3045873","GSM3045874","GSM3045875","GSM3045876","GSM3045877","GSM3045878","GSM3045879","GSM3045880","GSM3045881","GSM3045882","GSM3045883","GSM3045884","GSM3045885","GSM3045886","GSM3045887","GSM3045888","GSM3045889","GSM3045890","GSM3045891","GSM3045892","GSM3045893","GSM3045894","GSM3045895","GSM3045896","GSM3045897","GSM3045898","GSM3045899","GSM3045900","GSM3045901","GSM3045902","GSM3045903","GSM3045904","GSM3045905","GSM3045906","GSM3045907","GSM3045908","GSM3045909","GSM3045910","GSM3045911","GSM3045912","GSM3045913","GSM3045914"
"FSHR",4.00031786,4.210970975,3.142259537,3.6112963675,4.566592065,4.186753153,3.9914969285,4.582111847,4.478437641,4.1973125765,3.533763031,4.439166872,4.8173012295,4.300471849,4.2546989065,4.530567607,4.5345791035,4.105626338,4.2382354345,3.5206380605,4.501156437,4.3757195985,4.289693069,4.432611149,4.439421668,4.504555346,4.336601527,4.1548352155,5.651013658,4.123754501,5.210155793,5.022706427,2.7245215055,4.285340309,4.0752314055,4.32680192,4.6070941195,4.412675243,4.1390658435,5.16576418,4.0307433415,4.118663385,4.1377107355,4.2285493895,5.094072871,4.4775254925,4.1970931585,4.389920808
"FSIP1",6.366343509,7.23133289,8.222423462,6.025973948,5.915410577,7.250211248,5.867051378,6.296365038,6.409146383,6.49803755,6.320446488,6.635584651,6.380121349,6.676855778,7.403865677,6.10822319,6.18293576,6.797542229,6.12457734,6.794567074,6.406402898,5.986580857,7.392685645,6.218586828,5.935193762,5.79146597,6.034137955,6.204594966,6.631043166,5.170808425,6.037344904,6.654131311,6.09322319,7.874220423,5.738688165,5.412611093,5.674079516,6.065891099,5.808191127,5.835818017,6.259570056,5.864990059,6.961101991,6.706440891,6.060497098,5.797422922,6.254264303,5.626961345
"FSIP2",5.0521,4.703025,5.41365,5.17445,5.4242,5.1649,4.988475,4.781375,5.141,4.48555,5.35055,5.061025,5.061625,4.96285,4.887075,5.620325,4.9185,4.836425,4.734,5.294075,4.913425,4.80125,4.559925,4.651475,5.636225,5.114225,5.1606,5.030175,5.728175,5.581725,5.096225,4.991575,4.890275,4.752675,5.173925,5.48855,5.517025,5.2792,5.208725,4.9354,4.789475,6.060025,4.894625,5.051025,5.23995,5.41545,4.73095,5.175475
"FST",5.6747,6.9882,8.026,6.4692,8.0346,4.7705,7.3531,5.8421,5.676,4.1086,7.4164,6.8409,4.8704,6.2212,7.795,6.6802,5.261,7.2612,5.3061,8.3228,6.0344,6.965,7.8327,9.9676,7.6386,6.1853,5.378,7.8636,6.7902,6.0487,5.3819,5.4849,7.2244,7.968,4.3938,5.4977,5.84,5.3514,6.7516,4.6252,4.5969,3.8889,6.5334,5.2731,5.6984,6.418,7.5684,4.6325
"FSTL1",15.305,14.998,15.238,14.2,13.954,15.429,14.846,16.144,14.907,15.002,15.293,15.129,15.223,15.231,15.488,14.314,15.161,15.282,14.041,15.09,15.217,14.159,15.056,15.397,14.993,14.345,14.902,14.58,13.977,14.152,14.855,15.719,15.125,15.528,15.531,14.711,14.165,14.225,14.226,13.639,14.027,15.343,12.786,15.094,14.105,14.375,15.057,13.846
"FSTL3",9.677831878,9.404068639,9.335160423,11.62939512,11.43393376,8.65706223,9.339968667,9.506878151,8.989516224,8.307704436,8.333813029,9.475060322,8.029006306,9.552521349,9.500242642,9.978012012,8.132666637,9.21446122,11.49403843,9.20183336,7.577556042,9.929252504,8.301358859,8.756212874,9.069131322,9.841353315,8.799875771,8.810090151,11.04206628,11.67965015,7.971700227,8.49690024,8.918230209,9.461354035,8.470536734,12.67193748,11.80475755,13.48688361,11.71987504,12.37025068,11.939308,8.909740511,10.28740117,8.420535601,9.351402076,10.93282311,9.175266683,12.16358455
"FSTL4",4.6813,5.6984,4.4959,6.026,5.7974,4.9778,5.1915,5.2353,5.676,5.4168,4.5366,5.0612,5.3458,5.0367,4.9204,4.7705,5.5492,5.4077,5.2099,5.7811,5.1084,5.1173,5.0381,4.9754,4.788,5.2107,5.27,5.2808,4.7966,4.801,4.6825,5.1899,5.4253,4.9465,4.3288,4.788,4.8403,4.7803,4.328,5.028,5.5775,6.1371,4.5039,6.5593,5.0853,5.0853,6.3248,4.8403
"FSTL5",4.475812388,3.595714344,3.382436389,4.336593517,4.138798179,7.661786774,4.697035259,5.49155815,5.090163996,4.1086263,4.905946977,4.400962598,4.76327706,4.681306887,4.863214168,4.88727998,5.189872691,4.156602998,4.132814072,3.588861374,4.591283532,4.152383643,5.170808425,4.630641421,3.482631293,2.971865926,3.185091032,3.674918544,4.189920822,4.229713609,4.51446218,3.354795335,2.54149161,2.923191895,3.490675177,2.872835036,4.355436925,8.310381634,4.397401472,3.156725974,2.933064183,3.591357128,3.995406228,3.811767453,4.564223754,4.075137627,4.72968696,6.57823381
"FTCD",5.6014,5.20155,5.544,5.78375,5.24115,5.12515,4.75885,5.0066,4.9454,5.13165,4.80265,5.07245,5.48935,5.4028,4.916,5.1047,5.0255,5.0981,5.4983,6.0236,5.1288,4.77955,4.5811,4.84215,5.14975,5.44005,5.45115,5.17915,5.1375,5.6181,4.9273,5.3682,4.83495,5.54295,5.7126,6.25745,6.5543,5.6366,5.22785,5.8232,5.6258,5.3307,5.983,5.3078,5.3413,4.9221,4.2058,5.7947
"FTH1",16.71325,16.4045,16.27625,16.80925,16.88825,16.39875,16.88625,16.50775,16.5475,16.55575,16.368,16.55425,16.56025,16.687,16.495,16.75075,16.28875,16.541,16.6185,16.3955,16.4075,16.745,16.69725,16.11125,16.87875,16.878,16.648,16.82875,16.90075,16.96475,16.51275,16.4,16.544,16.502,16.5815,16.87075,16.9345,17.14225,17.2725,17.1425,17.15375,16.7035,17.4815,16.868,17.22375,17.06,16.83525,16.91
