"","GSM3045867","GSM3045868","GSM3045869","GSM3045870","GSM3045871","GSM3045872","GSM3045873","GSM3045874","GSM3045875","GSM3045876","GSM3045877","GSM3045878","GSM3045879","GSM3045880","GSM3045881","GSM3045882","GSM3045883","GSM3045884","GSM3045885","GSM3045886","GSM3045887","GSM3045888","GSM3045889","GSM3045890","GSM3045891","GSM3045892","GSM3045893","GSM3045894","GSM3045895","GSM3045896","GSM3045897","GSM3045898","GSM3045899","GSM3045900","GSM3045901","GSM3045902","GSM3045903","GSM3045904","GSM3045905","GSM3045906","GSM3045907","GSM3045908","GSM3045909","GSM3045910","GSM3045911","GSM3045912","GSM3045913","GSM3045914"
"XLOC_002402",4.906949156,4.105574115,4.827669215,4.827139905,5.200537745,5.835554877,5.818879554,5.18533671,4.600604838,5.516395037,5.766008966,5.014539833,5.083531141,5.388597442,5.769594593,6.447447799,4.651121614,4.924375525,5.551104819,4.831368954,5.35722828,5.140879566,5.714851352,5.401987675,4.698772318,4.121634446,4.648727215,4.717171965,4.733646344,4.699929196,5.781664862,6.992716146,4.886772099,4.916435294,3.871511967,4.582528973,6.490536187,5.149584936,5.059847763,5.112924626,4.863730408,5.192340864,5.030261076,4.555302927,6.095202915,5.659436094,5.043080571,4.632460238
"XLOC_002403",5.3125,4.9697,5.0706,4.6924,4.3459,4.5276,5.0661,4.7891,4.9878,5.5379,5.5065,5.3931,4.7057,4.7092,4.9204,5.0616,4.8771,4.9484,6.3373,5.8724,4.5579,6.1002,4.8282,5.175,5.5032,6.1468,5.0862,4.7172,4.6607,4.4081,4.5636,4.0545,5.0652,5.0127,5.1675,4.5572,4.7477,5.0431,4.8053,4.4088,5.4663,7.5445,5.865,8.7098,5.3246,5.27,4.9821,4.5981
"XLOC_002406",5.1396,4.3598,4.5295,4.8513,5.08,4.4588,4.4846,3.8715,4.9601,4.9019,4.277,4.6801,5.2723,4.8837,4.1371,5.1068,5.1439,4.7847,4.443,4.3938,4.746,5.1878,4.7611,4.8923,4.3451,3.8674,2.6088,3.8256,4.9754,3.5914,4.0666,4.7694,4.5052,4.2622,3.4907,3.65,3.9368,3.8267,4.4277,5.1129,4.0399,5.1224,3.3939,5.2731,4.1541,3.0374,4.8282,4.8154
"XLOC_002407",4.930794938,4.359835127,4.154916736,4.233713061,8.51416406,6.559873663,5.238849305,4.862697742,4.762169899,5.019644888,4.697035259,4.680134972,4.585661703,4.709150979,4.832424282,5.253696593,5.042168661,5.050355175,4.943548704,5.182856515,5.108357572,4.575612927,5.368548987,5.102464321,4.650523387,5.277913829,4.552103502,5.015004676,6.12457734,5.114226848,4.51446218,4.663627423,4.886772099,5.170391174,4.866823979,4.787966154,4.747698952,6.531237981,5.001463041,5.507502935,5.31027835,5.091046077,6.961101991,5.170391174,4.564223754,5.129762507,4.92239456,5.027038324
"XLOC_002408",5.4557,5.2293,5.7974,4.7466,5.3754,4.4588,5.2388,5.659,5.8264,5.3715,5.7881,5.8327,5.4509,5.7065,5.4892,5.5987,5.8107,5.539,5.8387,6.0844,5.0862,4.8277,5.435,6.2889,5.0693,4.9821,5.1837,5.2523,5.2156,4.8898,5.3205,6.0901,4.9286,5.0831,4.9064,5.1928,5.1624,4.9288,4.5981,4.6252,4.7594,4.7874,4.2661,5.1368,4.8466,4.8063,5.6309,5.2906
"XLOC_002411",5.1771,4.7212,5.1561,4.2337,3.6277,4.5276,5.2152,4.7177,4.5655,3.7771,5.3931,3.8939,3.0699,4.4906,4.2591,3.7999,4.4751,5.1447,4.7069,4.802,4.908,4.1524,4.8979,4.5366,4.7694,5.2107,4.8648,4.3473,4.5604,4.72,4.2962,4.8791,4.5052,4.3183,4.983,4.1734,4.6475,4.132,3.8498,4.5572,4.4396,5.0571,5.7143,5.3819,4.7787,4.2345,3.8664,3.9954
"XLOC_002417",3.986900956,4.607402388,3.97213441,4.630641421,4.68247785,4.71087352,4.75884331,4.816512727,4.73138517,4.568663567,4.394546227,4.546969617,4.392758826,4.049047046,5.317456672,4.935222474,4.551462764,4.84083923,4.515119559,4.081365289,3.666658483,4.575612927,4.693554854,4.837163728,4.673672371,4.558495273,3.469124313,4.50456538,4.114711367,3.388906723,4.409827147,4.62273328,4.178346904,4.728553709,4.126805041,4.094620436,4.69819353,4.536646714,3.011524965,5.0562389,4.812774643,4.319760098,6.096081922,4.974470473,4.154072866,4.987793095,4.375848117,4.345122006
"XLOC_002418",4.3062,3.897,5.0052,4.7466,4.4745,4.9484,3.3824,4.9484,4.2543,3.9543,4.465,4.8037,4.1625,4.5875,4.4547,4.2863,4.1767,4.3175,4.1328,4.7705,4.8549,6.4337,5.2361,5.0001,3.7859,4.0399,4.6947,4.3856,4.5604,4.3787,4.0299,4.2504,4.3198,4.1086,4.5085,3.9717,4.5392,5.2766,4.8053,4.6936,4.4738,5.2293,4.4602,4.2006,4.7787,4.2684,4.5046,4.8949
"XLOC_002419",4.5059,5.4612,4.8776,4.1541,4.2144,4.1507,4.6624,4.4003,4.42,5.0196,4.7577,4.5794,4.523,4.4906,4.523,4.8873,3.9318,4.8715,3.8021,5.2075,4.4883,4.434,4.7611,4.3995,4.788,4.2762,5.0862,4.9396,5.0201,3.5914,4.8903,3.7694,4.4116,4.9816,5.0875,4.334,4.0581,4.2417,4.5405,4.2006,5.3891,4.4052,5.6442,4.5913,4.9177,4.2684,4.4751,4.7842
"XLOC_002420",5.387700326,5.28814201,5.199311178,5.06703852,4.815979308,6.190260288,5.144707906,5.762967997,5.242029573,5.922613366,5.393074676,5.247578228,6.320070351,5.8819085,5.234864085,6.283689718,6.204696846,4.948424133,5.68302878,5.152756749,4.746019849,5.882800174,5.201354877,4.630641421,5.120288388,5.311792547,5.350613969,4.562952722,5.490889944,5.170808425,5.87961309,4.747698952,5.132335596,4.862697742,5.988475676,4.3038697,5.143432921,6.007171413,5.395932831,6.133274294,6.364155982,6.332617856,7.313272017,5.136827488,6.378135313,4.751609277,5.001463041,5.202171547
"XLOC_002424",4.2337,5.3099,4.6529,5.4055,5.0449,4.6535,5.1915,4.6941,4.8786,5.0784,5.471,5.1121,4.7057,4.378,5.3175,5.3122,5.3265,4.7286,5.1064,3.9377,5.0141,4.7057,5.2014,4.5687,5.2835,5.5753,5.1964,4.563,5.0946,4.6559,4.6105,4.0876,4.7353,5.7599,5.1366,4.2677,5.0113,5.1077,4.3642,3.9601,4.9124,5.8321,5.5753,4.6976,5.9154,5.6364,5.3569,4.8403
"XLOC_002427",5.3417,4.9897,4.5938,5.2935,4.6056,4.5932,4.9039,5.2496,5.5126,5.1849,4.9887,4.9391,5.3287,4.7705,4.175,4.7934,5.3265,5.2742,4.7069,5.5508,5.5366,5.095,4.8282,5.1025,5.0303,4.9821,5.4277,5.3695,4.9754,4.72,4.722,5.1293,3.9543,5.0127,4.6851,4.8314,5.0899,5.2353,4.7057,5.2851,5.5775,5.1923,4.676,5.2005,4.9807,4.8314,4.443,4.7234
"XLOC_002432",4.9963,5.2692,5.1379,4.8513,5.5498,5.37,5.6273,5.4818,5.1405,5.1068,5.3537,4.5092,5.1464,4.5875,4.8324,5.4805,5.2835,5.4602,4.7699,4.5718,5.5505,6.0569,6.1316,5.1477,4.8523,4.6999,4.6684,4.6209,5.6472,8.0021,5.0693,5.7627,4.1783,5.2123,5.0376,5.0201,4.9293,5.2766,4.8941,5.1997,4.8128,5.9305,4.1086,4.7694,6.7792,5.0371,4.6246,5.6631
"XLOC_002433",5.428051955,5.408017213,5.222036898,4.800423724,5.626961345,5.43014478,5.353924915,7.720110053,5.791194615,5.824194218,5.603662475,5.373270069,5.513108053,5.226057659,5.797422922,5.424207205,5.346187522,6.124792712,5.445744945,5.261748974,5.2212314,5.671575535,5.300397143,6.54466133,5.536932585,5.293516444,5.238053141,5.480156348,5.490889944,6.908970097,4.890323516,5.397359788,5.26878249,5.126324567,5.626657211,5.260965351,5.415430842,4.831368954,5.926571979,6.114743741,6.011836848,5.692649471,5.335061618,5.665666617,6.130810114,5.930026878,5.341376828,5.182028835
"XLOC_002440",5.1549,5.4966,5.1561,4.5706,4.8929,4.1507,5.0141,4.0977,5.2184,5.0196,5.088,5.0612,5.1051,4.7092,4.8324,4.3198,4.6854,4.7286,4.7387,5.2854,4.3407,4.2793,3.898,4.3606,5.1203,6.8548,4.9797,4.6953,4.4499,4.3518,4.1016,4.5039,4.252,4.8042,4.5863,5.1186,3.9745,4.4492,4.3642,4.5572,4.8637,8.5877,4.3183,4.5164,4.4088,4.8063,4.0814,4.5308
